frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags.ack,tcp.flags.syn,tcp.flags.fin,udp.srcport,udp.dstport,udp.length,icmp.type,icmp.code,ip.proto,tcp.len,ip.len
"Mar 29, 2024 10:48:41.775918000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:41.775919000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","1400","1452"
"Mar 29, 2024 10:48:41.775976000 EDT","192.168.1.71","202.28.95.174","38370","80","True","False","False",,,,,,"6","0","52"
"Mar 29, 2024 10:48:41.776145000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","1400","1452"
"Mar 29, 2024 10:48:41.776147000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:41.776726000 EDT","192.168.1.71","202.28.95.174","38370","80","True","False","False",,,,,,"6","0","52"
"Mar 29, 2024 10:48:41.792835000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.792938000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.812651000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.812652000 EDT","172.217.167.227","192.168.1.71","443","49604","True","False","False",,,,,,"6","56","108"
"Mar 29, 2024 10:48:41.812653000 EDT","172.217.167.227","192.168.1.71","443","49604","True","False","True",,,,,,"6","0","52"
"Mar 29, 2024 10:48:41.812706000 EDT","192.168.1.71","172.217.167.227","49604","443","True","False","False",,,,,,"6","0","52"
"Mar 29, 2024 10:48:41.812952000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.833434000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.833611000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.852541000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.852714000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.860327000 EDT","192.168.1.71","172.217.167.227","49604","443","True","False","False",,,,,,"6","0","52"
"Mar 29, 2024 10:48:41.872508000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.872701000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.879229000 EDT","34.104.35.123","192.168.1.71","80","38148","True","False","False",,,,,,"6","0","52"
"Mar 29, 2024 10:48:41.879257000 EDT","192.168.1.71","34.104.35.123","38148","80","True","False","False",,,,,,"6","0","52"
"Mar 29, 2024 10:48:41.893035000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.893196000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.913432000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.913686000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.932694000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.932957000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.953095000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.953300000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.973608000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.973867000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.994883000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:41.995122000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.015329000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.015639000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.035115000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.035369000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.054729000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.054942000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.075100000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.075382000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.077594000 EDT","192.168.1.65","224.0.0.251",,,,,,"5353","5353","747",,,"17",,"767"
"Mar 29, 2024 10:48:42.088126000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:42.088128000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:42.088129000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:42.088130000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:42.088184000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:42.088185000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:42.088186000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:42.088187000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:42.088346000 EDT","192.168.1.71","202.28.95.174","38370","80","True","False","False",,,,,,"6","0","52"
"Mar 29, 2024 10:48:42.089446000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:42.089447000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:42.089448000 EDT","202.28.95.174","192.168.1.71","80","38370","True","False","False",,,,,,"6","2800","2852"
"Mar 29, 2024 10:48:42.089504000 EDT","192.168.1.71","202.28.95.174","38370","80","True","False","False",,,,,,"6","0","52"
"Mar 29, 2024 10:48:42.094960000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.095136000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.115603000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.115958000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.135062000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.135370000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.155388000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.155528000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.176328000 EDT","192.168.1.76","192.168.1.71","36334","22","True","False","False",,,,,,"6","36","88"
"Mar 29, 2024 10:48:42.176474000 EDT","192.168.1.71","192.168.1.76","22","36334","True","False","False",,,,,,"6","36","88"
