frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.flags.ack,tcp.flags.syn,tcp.flags.fin,udp.srcport,udp.dstport,udp.length,icmp.type,icmp.code
"187","Mar 29, 2024 07:11:21.589793000 EDT",,,,,,,,,,,,,
"188","Mar 29, 2024 07:11:22.102045000 EDT",,,,,,,,,,,,,
"189","Mar 29, 2024 07:11:22.102057000 EDT",,,,,,,,,,,,,
"190","Mar 29, 2024 07:11:22.409381000 EDT",,,,,,,,,,,,,
"191","Mar 29, 2024 07:11:23.126686000 EDT",,,,,,,,,,,,,
"192","Mar 29, 2024 07:11:23.126697000 EDT",,,,,,,,,,,,,
"193","Mar 29, 2024 07:11:23.228969000 EDT",,,,,,,,,,,,,
"194","Mar 29, 2024 07:11:23.332006000 EDT",,,,,,,,,,,,,
"195","Mar 29, 2024 07:11:23.332019000 EDT",,,,,,,,,,,,,
"196","Mar 29, 2024 07:11:23.332021000 EDT",,,,,,,,,,,,,
"197","Mar 29, 2024 07:11:23.332022000 EDT",,,,,,,,,,,,,
